Animal,Sound
Alpaca,hum
Antelope,snort
Badger,growl
Bat,screech
Bear,roar
Bear cub,growl
Bee,buzz
Tiger,growl
Cat,meow
Cattle,moo
Chicken,cluck
Chinchilla,squeak
Cicada,chirp
Crab,chirp
Crane,clang
Cricket,chirp
Crow,caw
Black,Crow
Curlew,pipe
Deer,bellow
Dog,bark
Dolphin,click
Donkey,hee-haw
Duck,quack
Eagle,screech
Elephant,trumpet
Elk,bellow
Ferret,dook
Fly,buzz
Fox,bark
Frog,croak
Gaur,low
Giraffe,bleat
Goat,bleat
Goose,honk
Grasshopper,chirp
Guinea pig,wheek
Hamster,squeak
Hawk,screech
Hermit crab,chirp
Hippopotamus,growl
Hornet,buzz
Hummel,bee
Horse,neigh
Hyena,laugh
Jackal,gecker
Koala,bellow
Kangaroo,jump
Lemur,chatter
Leopard,roar
Linnet,chuckle
Lion,roar
Locust,chirp
Magpie,chatter
Monkey,scream
Moose,bellow
Mosquito,buzz
Mouse,squeak
Okapi,cough
Owl,hoot
Ox,low
Parrot,squawk
Peacock,scream
Pig,oink
Pigeon,coo
Prairie dog,bark
Quail,call
Rabbit,squeak
Raccoon,trill
Rat,squeak
Raven,caw
River otter,blow
Rook,caw
Seal,bark
Sheep,bleat
Snake,hiss
Songbird,chirrup
Squirrel,squeak
Swan,cry
Trumpeter,swan
Tapir,squeak
Tokay gecko,croak
Turkey,gobble
Whale,sing
Wild boar,growl
Wildebeest,low
Wolf,howl
Zebra,bray
